league_id,league_name,year,draft_type,num_teams,scoring_type,roster_size,num_starters,num_bench,ppr_points,keepers,num_rostered_qb,num_rostered_rb,num_rostered_rb_wr,num_rostered_wr,num_rostered_te,num_rostered_d_st,num_rostered_k,num_rostered_be,num_rostered_rb_wr_te,num_rostered_ir,num_rostered_wr_te,num_rostered_dt,num_rostered_de,num_rostered_lb,num_rostered_edr,num_rostered_cb,num_rostered_s,num_rostered_dp,num_rostered_p,num_rostered_hc,num_rostered_op,num_rostered_dl,num_rostered_db
614546,Kayaks,2017,draft,8,head_to_head_points,17,10,7,0,2,1,2,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615150,Seventh Times A Charm,2017,draft,10,head_to_head_points,16,9,7,0,1,1,2,0,2,1,1,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
614568,Emerald Isle Chump League,2017,draft,10,head_to_head_points,20,10,10,0,0,1,2,0,3,1,1,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
614588,Rehab Rejects,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614590,New York 12-Team 614590,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614594,Fantasy Football PeeWees,2017,draft,8,head_to_head_points,17,10,7,0,0,1,2,1,2,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
614599,greens,2017,draft,4,head_to_head_points,16,8,8,0,0,1,2,1,2,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614606,The Gods of Football,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614609,San Francisco 614609,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614615,Arizona 8-Team 614615,2017,draft,8,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614627,Financial Aid Fantasy Football,2017,draft,12,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614634,Arizona 614634,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614642,WES,2017,draft,8,head_to_head_points,20,13,7,1,2,2,2,0,2,1,0,1,7,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
614644,alphagetchyainthemorning,2017,draft,14,head_to_head_points,13,8,5,0,0,1,2,0,2,1,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
614661,B.O.H.I.C.A.,2017,draft,12,head_to_head_points,17,9,8,0,2,1,2,0,2,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614670,Los Angeles 614670,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614681,Cardenas Brothers,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614689,Elmers Fantasy,2017,draft,10,head_to_head_points,22,10,12,0.5,0,1,2,0,2,1,1,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614711,Little Girl Puss Posse,2017,draft,10,head_to_head_points,16,10,6,0,0,1,2,0,3,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
