owner_id,league_id,team_name,wins,losses,ties,pts_scored,pts_against
2,614546,Have Bush? Get Barber!,11,3,0,1565,1256
7,614546,What did the  Ram Say?,9,5,0,1483,1309
1,614546,Blue Steel,10,4,0,1457,1318
3,614546,Too Many Cooks,7,7,0,1314,1444
4,614546,SWAN KILLER,6,8,0,1381,1332
5,614546,RIP Ben,2,12,0,1053,1427
9,614546,Full Throttlisberger,5,9,0,1277,1422
8,614546,Flocka Wakas,6,8,0,1357,1379
1,615150,Annexation of Puerto Rico,7,6,0,1235,1286
3,615150,Turn Down For Watt,8,5,0,1350,1230
7,615150,Cheddar Champs,6,7,0,1239,1123
6,615150,Sagnasty Triple Threat,10,3,0,1361,1208
14,615150,Backfields and Mccoys,7,6,0,1221,1166
5,615150,Jerry BALLS In Your Mouth,8,5,0,1249,1096
18,615150,Khaki Kings,6,7,0,1118,1234
16,615150,Karma Drones,5,8,0,1148,1230
17,615150,"""Jake"" from State Farm",5,8,0,1142,1253
4,615150,1.21 Jalen  Watts,3,10,0,1041,1278
11,614568,Team Roush,9,4,0,1321,1069
10,614568,CROMARTIES KIDZ,9,4,0,1446,1237
1,614568,Front Street Gila Monsters,8,5,0,1410,1159
2,614568,chuck dogg Droppin Elbows!,8,5,0,1372,1336
5,614568,EI Spartans,5,8,0,1214,1315
8,614568,Team Tyronious,7,6,0,1208,1261
4,614568,Team Sawyer,3,10,0,1099,1429
6,614568,Marsh Cove  destroyers,8,5,0,1278,1176
7,614568,Chump MASTER,5,8,0,1099,1180
9,614568,Shawn Pinzel,3,10,0,1209,1494
24,614588,Sanduskys D,9,4,0,1228,1108
21,614588,Hernandez 200 Threadcount,9,3,1,1295,1119
13,614588,Whitacre Bulldogs,8,4,1,1358,1135
1,614588,Dope Boys,7,6,0,1187,1331
14,614588,Tidewater Tecatos,6,7,0,1079,1118
5,614588,Victorious Secret,5,8,0,1040,1149
3,614588,B4 CRACK Cookers,7,6,0,1156,1109
25,614588,BIG DADDY DIESEL ,4,9,0,1114,1194
22,614588,El Chapo,5,7,1,1103,1206
23,614588,BIG RON,3,9,1,1081,1172
12,614590,Billy O #11,12,1,0,1314,895
3,614590,Team 3,8,5,0,1011,950
9,614590,Cle Valley,11,2,0,1081,976
10,614590,Tennessee Titans,8,5,0,1102,1039
6,614590,Team 6,6,7,0,1022,1045
11,614590,Memphis Mud ,7,6,0,950,939
4,614590,Salve 40,6,7,0,1238,1123
8,614590,My Savages,5,8,0,925,921
5,614590,Team 5,2,11,0,918,1196
1,614590,Alaska 1,6,7,0,843,874
7,614590,Team 7,4,9,0,890,989
2,614590,G.o.A.t  Squad,3,10,0,787,1132
4,614594,Waverly Vikes4Sure,11,2,1,1490,1177
1,614594,"Trump  ""Many Sides""",9,4,1,1499,1198
8,614594,Wild Stallions,10,4,0,1348,1227
3,614594,Devontas Inferno,8,6,0,1320,1265
2,614594,North Liberty Kinnicks,5,9,0,1029,1326
5,614594,Donny John Hedge Huggers,3,11,0,1130,1297
6,614594,Trump Nation,5,9,0,1211,1370
7,614594,St.Paul Cats,4,10,0,982,1149
2,614599,Patriots Ryan,4,9,0,1197,1262
